,time_period,rainfall,mean_temperature,population,parent,location,E,month,ID_year,ID_spat
0,2013-04,39.474,26.8,80013.6022600446,-,Bokeo,80013.6022600446,4,2013,Bokeo
1,2013-05,170.046,25.85,80013.6022600446,-,Bokeo,80013.6022600446,5,2013,Bokeo
2,2013-06,231.449,24.71,80013.6022600446,-,Bokeo,80013.6022600446,6,2013,Bokeo
0,2013-04,152.216,27.19,731597.700055804,-,Champasak,731597.700055804,4,2013,Champasak
1,2013-05,236.376,26.27,731597.700055804,-,Champasak,731597.700055804,5,2013,Champasak
2,2013-06,326.757,25.11,731597.700055804,-,Champasak,731597.700055804,6,2013,Champasak
0,2013-04,58.794,25.07,124395.77382115,-,LouangNamtha,124395.77382115,4,2013,LouangNamtha
1,2013-05,162.002,24.73,124395.77382115,-,LouangNamtha,124395.77382115,5,2013,LouangNamtha
2,2013-06,183.576,23.95,124395.77382115,-,LouangNamtha,124395.77382115,6,2013,LouangNamtha
0,2013-04,72.503,24.96,282682.581612723,-,Oudomxai,282682.581612723,4,2013,Oudomxai
1,2013-05,174.669,24.6,282682.581612723,-,Oudomxai,282682.581612723,5,2013,Oudomxai
2,2013-06,185.748,23.97,282682.581612723,-,Oudomxai,282682.581612723,6,2013,Oudomxai
0,2013-04,116.306,26.81,711913.83530971,-,Savannakhet,711913.83530971,4,2013,Savannakhet
1,2013-05,184.736,26.82,711913.83530971,-,Savannakhet,711913.83530971,5,2013,Savannakhet
2,2013-06,222.32,25.97,711913.83530971,-,Savannakhet,711913.83530971,6,2013,Savannakhet
0,2013-04,77.302,28.76,589879.141462054,-,Vientiane[prefecture],589879.141462054,4,2013,Vientiane[prefecture]
1,2013-05,265.783,27.42,589879.141462054,-,Vientiane[prefecture],589879.141462054,5,2013,Vientiane[prefecture]
2,2013-06,259.312,26.6,589879.141462054,-,Vientiane[prefecture],589879.141462054,6,2013,Vientiane[prefecture]
0,2013-04,89.879,21.49,194669.712960379,-,Xiangkhoang,194669.712960379,4,2013,Xiangkhoang
1,2013-05,169.82,22.19,194669.712960379,-,Xiangkhoang,194669.712960379,5,2013,Xiangkhoang
2,2013-06,282.182,21.83,194669.712960379,-,Xiangkhoang,194669.712960379,6,2013,Xiangkhoang
