,time_period,rainfall,mean_temperature,disease_cases,population,parent,location,Cases,E,month,ID_year,ID_spat
0,2000-07,430.119,23.44,0.0,58502.7681361607,-,Bokeo,0.0,58502.7681361607,7,2000,Bokeo
1,2000-08,321.913,23.82,0.0,58502.7681361607,-,Bokeo,0.0,58502.7681361607,8,2000,Bokeo
2,2000-09,265.021,22.66,0.0,58502.7681361607,-,Bokeo,0.0,58502.7681361607,9,2000,Bokeo
3,2000-10,103.474,22.57,0.0,58502.7681361607,-,Bokeo,0.0,58502.7681361607,10,2000,Bokeo
4,2000-11,19.728,20.28,0.0,58502.7681361607,-,Bokeo,0.0,58502.7681361607,11,2000,Bokeo
5,2000-12,25.991,19.13,0.0,58502.7681361607,-,Bokeo,0.0,58502.7681361607,12,2000,Bokeo
6,2001-01,17.576,19.76,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,1,2001,Bokeo
7,2001-02,7.275,22.01,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,2,2001,Bokeo
8,2001-03,123.211,22.57,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,3,2001,Bokeo
9,2001-04,29.62,27.5,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,4,2001,Bokeo
10,2001-05,439.225,22.91,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,5,2001,Bokeo
11,2001-06,289.653,23.97,1.0,60157.4476841518,-,Bokeo,1.0,60157.4476841518,6,2001,Bokeo
12,2001-07,433.172,23.18,1.0,60157.4476841518,-,Bokeo,1.0,60157.4476841518,7,2001,Bokeo
13,2001-08,317.067,24.05,1.0,60157.4476841518,-,Bokeo,1.0,60157.4476841518,8,2001,Bokeo
14,2001-09,261.593,23.34,1.0,60157.4476841518,-,Bokeo,1.0,60157.4476841518,9,2001,Bokeo
15,2001-10,150.02,22.58,1.0,60157.4476841518,-,Bokeo,1.0,60157.4476841518,10,2001,Bokeo
16,2001-11,36.503,18.57,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,11,2001,Bokeo
17,2001-12,15.168,18.64,0.0,60157.4476841518,-,Bokeo,0.0,60157.4476841518,12,2001,Bokeo
18,2002-01,32.291,18.11,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,1,2002,Bokeo
19,2002-02,23.047,21.52,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,2,2002,Bokeo
20,2002-03,43.623,23.42,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,3,2002,Bokeo
21,2002-04,56.187,25.89,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,4,2002,Bokeo
22,2002-05,408.673,24.07,1.0,61812.1272321429,-,Bokeo,1.0,61812.1272321429,5,2002,Bokeo
23,2002-06,364.548,23.91,1.0,61812.1272321429,-,Bokeo,1.0,61812.1272321429,6,2002,Bokeo
24,2002-07,530.115,22.98,1.0,61812.1272321429,-,Bokeo,1.0,61812.1272321429,7,2002,Bokeo
25,2002-08,387.139,23.19,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,8,2002,Bokeo
26,2002-09,192.994,23.57,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,9,2002,Bokeo
27,2002-10,150.797,22.03,1.0,61812.1272321429,-,Bokeo,1.0,61812.1272321429,10,2002,Bokeo
28,2002-11,108.736,19.68,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,11,2002,Bokeo
29,2002-12,62.489,18.37,0.0,61812.1272321429,-,Bokeo,0.0,61812.1272321429,12,2002,Bokeo
30,2003-01,69.415,17.7,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,1,2003,Bokeo
31,2003-02,24.437,20.22,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,2,2003,Bokeo
32,2003-03,129.629,22.15,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,3,2003,Bokeo
33,2003-04,54.885,26.0,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,4,2003,Bokeo
34,2003-05,186.719,25.6,0.0,63466.8067801339,-,Bokeo,0.0,63466.8067801339,5,2003,Bokeo
35,2003-06,315.084,23.93,1.0,63466.8067801339,-,Bokeo,1.0,63466.8067801339,6,2003,Bokeo
36,2003-07,285.135,24.3,1.0,63466.8067801339,-,Bokeo,1.0,63466.8067801339,7,2003,Bokeo
37,2003-08,318.048,24.06,5.0,63466.8067801339,-,Bokeo,5.0,63466.8067801339,8,2003,Bokeo
38,2003-09,273.417,23.6,11.0,63466.8067801339,-,Bokeo,11.0,63466.8067801339,9,2003,Bokeo
39,2003-10,97.502,23.05,2.0,63466.8067801339,-,Bokeo,2.0,63466.8067801339,10,2003,Bokeo
