,time_period,rainfall,mean_temperature,population,parent,location
0,2012-07,434.478,23.16,78358.9227120536,-,Bokeo
1,2012-08,362.176,23.7,78358.9227120536,-,Bokeo
2,2012-09,242.424,23.69,78358.9227120536,-,Bokeo
3,2012-10,107.072,22.96,78358.9227120536,-,Bokeo
4,2012-11,119.215,22.14,78358.9227120536,-,Bokeo
5,2012-12,27.869,19.29,78358.9227120536,-,Bokeo
0,2012-07,368.552,24.47,722156.640066964,-,Champasak
1,2012-08,354.217,24.44,722156.640066964,-,Champasak
2,2012-09,368.931,24.25,722156.640066964,-,Champasak
3,2012-10,111.218,24.65,722156.640066964,-,Champasak
4,2012-11,73.525,25.45,722156.640066964,-,Champasak
5,2012-12,4.757,24.98,722156.640066964,-,Champasak
0,2012-07,382.604,22.55,121519.728585379,-,LouangNamtha
1,2012-08,296.724,22.96,121519.728585379,-,LouangNamtha
2,2012-09,201.727,22.62,121519.728585379,-,LouangNamtha
3,2012-10,86.073,21.81,121519.728585379,-,LouangNamtha
4,2012-11,86.971,20.88,121519.728585379,-,LouangNamtha
5,2012-12,19.936,18.15,121519.728585379,-,LouangNamtha
0,2012-07,364.055,22.54,282317.097935268,-,Oudomxai
1,2012-08,315.607,22.91,282317.097935268,-,Oudomxai
2,2012-09,174.356,22.67,282317.097935268,-,Oudomxai
3,2012-10,66.387,22.08,282317.097935268,-,Oudomxai
4,2012-11,78.192,21.38,282317.097935268,-,Oudomxai
5,2012-12,29.305,18.46,282317.097935268,-,Oudomxai
0,2012-07,286.584,25.25,703198.002371652,-,Savannakhet
1,2012-08,248.395,25.08,703198.002371652,-,Savannakhet
2,2012-09,205.193,25.07,703198.002371652,-,Savannakhet
3,2012-10,46.7,25.13,703198.002371652,-,Savannakhet
4,2012-11,22.827,25.5,703198.002371652,-,Savannakhet
5,2012-12,7.775,23.08,703198.002371652,-,Savannakhet
0,2012-07,394.475,25.74,579428.569754464,-,Vientiane[prefecture]
1,2012-08,426.776,25.73,579428.569754464,-,Vientiane[prefecture]
2,2012-09,232.189,26.08,579428.569754464,-,Vientiane[prefecture]
3,2012-10,58.911,26.4,579428.569754464,-,Vientiane[prefecture]
4,2012-11,36.796,26.24,579428.569754464,-,Vientiane[prefecture]
5,2012-12,6.881,23.19,579428.569754464,-,Vientiane[prefecture]
0,2012-07,309.562,21.37,193922.655552455,-,Xiangkhoang
1,2012-08,379.645,21.25,193922.655552455,-,Xiangkhoang
2,2012-09,137.658,20.77,193922.655552455,-,Xiangkhoang
3,2012-10,47.219,20.27,193922.655552455,-,Xiangkhoang
4,2012-11,62.237,19.57,193922.655552455,-,Xiangkhoang
5,2012-12,32.645,16.32,193922.655552455,-,Xiangkhoang
