,time_period,rainfall,mean_temperature,population,parent,location
0,2013-01,36.842,19.16,80013.6022600446,-,Bokeo
1,2013-02,17.76,22.62,80013.6022600446,-,Bokeo
2,2013-03,55.608,23.85,80013.6022600446,-,Bokeo
3,2013-04,39.474,26.8,80013.6022600446,-,Bokeo
4,2013-05,170.046,25.85,80013.6022600446,-,Bokeo
5,2013-06,231.449,24.71,80013.6022600446,-,Bokeo
0,2013-01,6.945,23.85,731597.700055804,-,Champasak
1,2013-02,3.714,26.9,731597.700055804,-,Champasak
2,2013-03,59.21,27.69,731597.700055804,-,Champasak
3,2013-04,152.216,27.19,731597.700055804,-,Champasak
4,2013-05,236.376,26.27,731597.700055804,-,Champasak
5,2013-06,326.757,25.11,731597.700055804,-,Champasak
0,2013-01,36.219,17.68,124395.77382115,-,LouangNamtha
1,2013-02,20.888,21.22,124395.77382115,-,LouangNamtha
2,2013-03,45.904,22.54,124395.77382115,-,LouangNamtha
3,2013-04,58.794,25.07,124395.77382115,-,LouangNamtha
4,2013-05,162.002,24.73,124395.77382115,-,LouangNamtha
5,2013-06,183.576,23.95,124395.77382115,-,LouangNamtha
0,2013-01,27.105,17.79,282682.581612723,-,Oudomxai
1,2013-02,16.328,21.52,282682.581612723,-,Oudomxai
2,2013-03,32.957,23.14,282682.581612723,-,Oudomxai
3,2013-04,72.503,24.96,282682.581612723,-,Oudomxai
4,2013-05,174.669,24.6,282682.581612723,-,Oudomxai
5,2013-06,185.748,23.97,282682.581612723,-,Oudomxai
0,2013-01,9.905,20.96,711913.83530971,-,Savannakhet
1,2013-02,4.183,24.83,711913.83530971,-,Savannakhet
2,2013-03,39.507,26.7,711913.83530971,-,Savannakhet
3,2013-04,116.306,26.81,711913.83530971,-,Savannakhet
4,2013-05,184.736,26.82,711913.83530971,-,Savannakhet
5,2013-06,222.32,25.97,711913.83530971,-,Savannakhet
0,2013-01,10.229,21.93,589879.141462054,-,Vientiane[prefecture]
1,2013-02,2.528,26.02,589879.141462054,-,Vientiane[prefecture]
2,2013-03,15.222,28.02,589879.141462054,-,Vientiane[prefecture]
3,2013-04,77.302,28.76,589879.141462054,-,Vientiane[prefecture]
4,2013-05,265.783,27.42,589879.141462054,-,Vientiane[prefecture]
5,2013-06,259.312,26.6,589879.141462054,-,Vientiane[prefecture]
0,2013-01,23.381,15.1,194669.712960379,-,Xiangkhoang
1,2013-02,23.329,18.69,194669.712960379,-,Xiangkhoang
2,2013-03,51.098,20.55,194669.712960379,-,Xiangkhoang
3,2013-04,89.879,21.49,194669.712960379,-,Xiangkhoang
4,2013-05,169.82,22.19,194669.712960379,-,Xiangkhoang
5,2013-06,282.182,21.83,194669.712960379,-,Xiangkhoang
